Year,Trade (% of GDP),Population growth (annual %),GDP growth (annual %),GDP per capita,"Inflation, CPI (annual %)","Employment to population ratio, 15+","Net FDI(BoP, current US$)",Government total expenditures,INDPRO_IDX,HUMCAP_IDX
1961,,1.657730037,2.3,3066.562869,1.070724148,55.4,,161.749,23.3892,2.7555551528930600
1962,,1.537997358,6.1,3243.843078,1.198773348,55.5,,174.455,25.3385,2.7902920246124200
1963,,1.439164762,4.4,3374.515171,1.239669421,55.4,,182.854,26.8912,2.8254668712615900
1964,,1.389046055,5.8,3573.941185,1.278911565,55.7,,192.328,28.7016,2.8610851764678900
1965,,1.250171646,6.4,3827.52711,1.585169264,56.2,,204.882,31.5538,2.8971524238586400
1966,,1.154893191,6.5,4146.316646,3.015075377,56.9,,232,34.3455,2.9283707141876200
1967,,1.088881207,2.5,4336.426587,2.772785623,57.3,,261.23,35.0869,2.9599254131317100
1968,,0.998461044,4.8,4695.92339,4.271796153,57.5,,288.754,37.0360,2.9918198585510200
1969,,0.977242812,3.1,5032.144743,5.4623862,58,,309.957,38.7553,3.0240583419799800
1970,10.7582854,1.165002667,-0.283491263,5234.296666,5.838255338,57.4,5270000000,341.397,37.4773,3.0566439628601000
1971,10.75717904,1.264333692,3.293351639,5609.3826,4.292766688,56.6,4850000000,373.053,37.9896,3.0898852348327600
1972,11.34061965,1.070522752,5.258907357,6094.01799,3.272278247,57,6060000000,406.888,41.6430,3.1234877109527500
1973,13.07921559,0.954476729,5.645722556,6726.358956,6.177760064,57.8,7410000000,438.671,45.0581,3.1574559211730900
1974,16.44498632,0.913660196,-0.540551652,7225.69136,11.0548048,57.8,1620000000,492.803,44.9266,3.1917934417724600
1975,15.51637363,0.985986067,-0.205456065,7801.456664,9.143146865,56.1,11420000000,576.37,40.9238,3.2265043258666900
1976,16.04884564,0.950220049,5.388139287,8592.253537,5.744812635,56.8,8410000000,616.563,44.1512,3.2499957084655700
1977,16.41789468,1.005771996,4.624153065,9452.576519,6.501683995,57.9,8360000000,665.149,47.5274,3.2736580371856600
1978,16.97283423,1.05957308,5.535304958,10564.94822,7.630963839,59.3,8870000000,735.193,50.1422,3.2974925041198700
1979,18.3761632,1.103576565,3.166145308,11674.18187,11.25447113,59.9,16670000000,814.372,51.6434,3.3215007781982400
1980,20.10984469,0.959589923,-0.256749674,12574.79151,13.54920197,59.2,2300000000,935.584,50.3066,3.3456838130950900
1981,19.42591317,0.981415437,2.537719307,13976.10539,10.33471534,59,-15570000000,1056.45,50.9677,3.3547689914703300
1982,17.53681228,0.953317566,-1.802887409,14433.78773,6.131427,57.8,-13456000000,1170.241,48.3259,3.3638789653778000
1983,16.66559348,0.914378513,4.583913355,15543.89372,3.212435233,57.9,-2730000000,1272.458,49.6478,3.3730137348175000
1984,17.52240742,0.865817336,7.23663315,17121.22548,4.300535475,59.5,-12410000000,1368.669,54.0736,3.3821732997894200
1985,16.60390613,0.886129041,4.169656223,18236.82773,3.545644152,60.1,-5950000000,1496.843,54.7358,3.3913576602935700
1986,16.89797715,0.924164157,3.462645971,19071.22719,1.898047722,60.7,-11422000000,1597.895,55.2904,3.4000606536865200
1987,17.97358098,0.893829201,3.45925199,20038.9411,3.664563218,61.5,-23438000000,1681.169,58.1726,3.4087860584259000
1988,19.07010071,0.90799904,4.177061291,21417.01193,4.077741107,62.3,-35209000000,1764.459,61.1827,3.4175336360931300
1989,19.41512839,0.944405555,3.67264815,22857.15443,4.82700303,63,-24800000000,1896.993,61.7368,3.4263038635253900
1990,19.81505058,1.12965052,1.885964957,23888.60001,5.39795644,62.8,-11290000000,2055.425,62.3310,3.4350965023040700
1991,19.78644812,1.336260741,-0.108264791,24342.2589,4.234963965,60.72000122,14720000000,2166.643,61.4119,3.4523024559020900
1992,19.9505945,1.386885692,3.522440527,25418.99078,3.028819678,60.54499817,28460000000,2339.236,63.2086,3.4695949554443300
1993,20.0446187,1.31868,2.751781051,26387.29373,2.951656966,60.81100082,32570000000,2412.752,65.2849,3.4869735240936200
1994,21.05545916,1.226296089,4.02879326,27694.85342,2.607441592,61.63999939,34050000000,2485.781,68.7223,3.5044395923614500
1995,22.45338165,1.190787091,2.684217272,28690.8757,2.805419689,62.01900101,40980000000,2601.781,71.9066,3.5219931602478000
1996,22.68707199,1.16341162,3.772565499,29967.71272,2.9312042,62.29299927,5360000000,2696.964,75.1711,3.5332388877868600
1997,23.42832109,1.203960297,4.447174945,31459.13898,2.337689937,62.88499832,-770000000,2772.353,80.5740,3.5445206165313700
1998,22.82589095,1.165714526,4.481394432,32853.67695,1.552279099,63.10499954,-36390000000,2855.59,85.3080,3.5558385848999000
1999,23.3135637,1.148340047,4.794499045,34515.39023,2.188027197,63.31100082,-64964000000,2995.354,89.0460,3.5671925544738700
2000,25.10299536,1.112768997,4.077159479,36329.95607,3.376857271,63.45500183,-1.63E+11,3141.626,92.4951,3.5785825252532900
2001,22.96718134,0.989741382,0.954338729,37133.62311,2.826171119,62.72399902,-26455000000,3363.233,89.6767,3.5883371829986500
2002,22.28637411,0.927797486,1.695942923,37997.75966,1.586031627,61.80199814,67930000000,3586.026,89.9785,3.5981185436248700
2003,22.62731301,0.859481713,2.796209101,39490.27496,2.270094973,61.32899857,78112000000,3815.512,91.1422,3.6079261302947900
2004,24.44806226,0.925483969,3.852552601,41724.63163,2.677236693,61.38000107,1.60E+11,4018.669,93.5781,3.6177608966827300
2005,25.63855303,0.921713167,3.48322032,44123.40707,3.392746845,61.69800186,-89753000000,4302.853,96.7144,3.6276223659515300
2006,26.9752781,0.964253917,2.782810626,46302.00088,3.225944101,62.11199951,-14662000000,4519.635,98.9224,3.6423289775848300
2007,28.01201768,0.951055243,2.010507552,48050.22378,2.852672482,61.97100067,1.77E+11,4833.454,101.4562,3.6570947170257500
2008,29.86779579,0.945865287,0.122188443,48570.04598,3.839100297,61.17100143,2491000000,5261.859,97.9417,3.6719207763671800
2009,24.75953117,0.876651299,-2.599888351,47194.94335,-0.355546266,58.34700012,1.52E+11,5637.123,86.8092,3.6868066787719700
2010,28.21989523,0.829616675,2.708856694,48650.64313,1.640043442,57.52199936,85789000000,5834.437,91.6213,3.7017533779144200
2011,30.84248624,0.726786705,1.54989495,50065.9665,3.156841569,57.42499924,1.73E+11,5871.728,94.5035,3.7070109844207700
2012,30.68183537,0.733599941,2.280687603,51784.41857,2.069337265,57.6590004,1.27E+11,5841.901,97.3878,3.7122759819030700
2013,30.00236714,0.692860277,1.841875395,53291.12769,1.464832656,57.69900131,1.05E+11,5853.881,99.3462,3.7175486087799000
2014,29.99799978,0.73336152,2.287775933,55123.84979,1.622222977,58.11600113,1.36E+11,6001.639,102.3290,3.7228286266326900
2015,27.8122335,0.736217309,2.706369582,56762.72945,0.118627136,58.4640007,-2.09E+11,6160.906,100.8807,3.7281162738800000
2016,26.58699936,0.724676067,1.667472076,57866.74493,1.261583206,58.84799957,-1.75E+11,6378.499,98.6972,3.7334113121032700
2017,27.27916102,0.632643995,2.241921216,59907.75426,2.130110004,59.23699951,28590000000,6594.039,100.0000,3.7387139797210600
2018,27.61037927,0.526435396,2.945384831,62823.30944,2.442583297,59.54899979,-3.45E+11,6937.736,103.1501,3.7440237998962400
2019,26.45194947,0.455381286,2.294439078,65120.39466,1.812210075,59.92300034,-2.09E+11,7338.825,102.4293,3.7493414878845200
2020,23.38376188,0.961201052,-2.767802511,63530.63348,1.233584396,55.97900009,1.23E+11,9109.091,95.0682,
2021,25.48140027,0.118380497,5.945484761,70248.629,4.697858864,57.41400146,-26574000000,9586.079,99.2450,
